Name,Weight,Event,Time
Alexie Beer,108,Thankgiving 2000,2000-11-30T010:23:32-06:00
Alexie Beer,110,Thankgiving 2000,2000-11-30T011:34:19-06:00
Alexie Beer,113,Thankgiving 2000,2000-11-30T012:47:18-06:00
Alexie Beer,114,Thankgiving 2000,2000-11-30T013:39:46-06:00
Alexie Beer,112,Thankgiving 2000,2000-11-30T014:34:31-06:00
Gerry Crooks,102,Thankgiving 2000,2000-11-30T00:29:23-06:00
Gerry Crooks,99,Thankgiving 2000,2000-11-30T01:12:44-06:00
Gerry Crooks,101,Thankgiving 2000,2000-11-30T02:58:45-06:00
Gerry Crooks,103,Thankgiving 2000,2000-11-30T03:17:38-06:00
Gerry Crooks,105,Thankgiving 2000,2000-11-30T04:25:47-06:00
Gerry Crooks,104,Thankgiving 2000,2000-11-30T05:50:28-06:00
Cooper Beer,98,Thankgiving 2000,2000-11-30T00:26:23-06:00
Cooper Beer,103,Thankgiving 2000,2000-11-30T01:57:36-06:00
Garfield Anderson,99,Thankgiving 2000,2000-11-30T00:29:31-06:00
Garfield Anderson,100,Thankgiving 2000,2000-11-30T01:56:13-06:00
Garfield Anderson,103,Thankgiving 2000,2000-11-30T02:52:37-06:00
Garfield Anderson,101,Thankgiving 2000,2000-11-30T03:54:37-06:00
Garfield Anderson,105,Thankgiving 2000,2000-11-30T04:12:12-06:00
Lou Crooks,98,Thankgiving 2000,2000-11-30T00:11:58-06:00
Lou Crooks,103,Thankgiving 2000,2000-11-30T01:35:38-06:00
Carli Crooks,98,Thankgiving 2000,2000-11-30T00:21:52-06:00
Carli Crooks,100,Thankgiving 2000,2000-11-30T01:37:24-06:00
Carli Crooks,102,Thankgiving 2000,2000-11-30T02:45:54-06:00
Carli Crooks,104,Thankgiving 2000,2000-11-30T03:38:26-06:00
Carli Crooks,104,Thankgiving 2000,2000-11-30T04:44:22-06:00
Carli Crooks,104,Thankgiving 2000,2000-11-30T05:41:21-06:00
Carli Crooks,108,Thankgiving 2000,2000-11-30T06:34:56-06:00
Carli Crooks,108,Thankgiving 2000,2000-11-30T07:25:32-06:00
Carli Crooks,107,Thankgiving 2000,2000-11-30T08:23:51-06:00
Carli Crooks,108,Thankgiving 2000,2000-11-30T09:37:55-06:00
Annabelle Beer,101,Thankgiving 2000,2000-11-30T00:45:17-06:00
Annabelle Beer,100,Thankgiving 2000,2000-11-30T01:30:32-06:00
Annabelle Beer,101,Thankgiving 2000,2000-11-30T02:55:42-06:00
Annabelle Beer,103,Thankgiving 2000,2000-11-30T03:36:21-06:00
Annabelle Beer,106,Thankgiving 2000,2000-11-30T04:24:10-06:00
Abigail Anderson,102,Fourth of July 2000,2000-07-04T00:50:47-06:00
Abigail Anderson,101,Fourth of July 2000,2000-07-04T01:44:21-06:00
Abigail Anderson,104,Fourth of July 2000,2000-07-04T02:50:13-06:00
Abigail Anderson,104,Fourth of July 2000,2000-07-04T03:13:16-06:00
Abigail Anderson,106,Fourth of July 2000,2000-07-04T04:31:24-06:00
Abigail Anderson,103,Fourth of July 2000,2000-07-04T05:44:24-06:00
Abigail Anderson,104,Fourth of July 2000,2000-07-04T06:59:46-06:00
Abigail Anderson,105,Fourth of July 2000,2000-07-04T07:19:11-06:00
Abigail Anderson,107,Fourth of July 2000,2000-07-04T08:58:47-06:00
Abigail Anderson,108,Fourth of July 2000,2000-07-04T09:13:40-06:00
Lenny Anderson,98,Fourth of July 2000,2000-07-04T00:19:48-06:00
Lenny Anderson,103,Fourth of July 2000,2000-07-04T01:15:21-06:00
Lenny Anderson,103,Fourth of July 2000,2000-07-04T02:33:53-06:00
Lenny Anderson,103,Fourth of July 2000,2000-07-04T03:31:30-06:00
Lenny Anderson,102,Fourth of July 2000,2000-07-04T04:34:12-06:00
Lenny Anderson,107,Fourth of July 2000,2000-07-04T05:23:15-06:00
Lenny Anderson,104,Fourth of July 2000,2000-07-04T06:43:56-06:00
Lenny Anderson,107,Fourth of July 2000,2000-07-04T07:25:29-06:00
Lenny Anderson,109,Fourth of July 2000,2000-07-04T08:45:32-06:00
Lenny Anderson,111,Fourth of July 2000,2000-07-04T09:49:18-06:00
Lenny Anderson,112,Fourth of July 2000,2000-07-04T010:23:25-06:00
Lenny Anderson,111,Fourth of July 2000,2000-07-04T011:22:30-06:00
Lenny Anderson,114,Fourth of July 2000,2000-07-04T012:41:39-06:00
Lenny Anderson,112,Fourth of July 2000,2000-07-04T013:29:19-06:00
Lenny Anderson,114,Fourth of July 2000,2000-07-04T014:56:39-06:00
Quincy Crooks,99,Fourth of July 2000,2000-07-04T00:18:22-06:00
Quincy Crooks,100,Fourth of July 2000,2000-07-04T01:49:57-06:00
Quincy Crooks,102,Fourth of July 2000,2000-07-04T02:32:57-06:00
Quincy Crooks,104,Fourth of July 2000,2000-07-04T03:49:48-06:00
Quincy Crooks,103,Fourth of July 2000,2000-07-04T04:41:51-06:00
Alexie Beer,102,Fourth of July 2000,2000-07-04T00:42:29-06:00
Alexie Beer,99,Fourth of July 2000,2000-07-04T01:45:30-06:00
Alexie Beer,101,Fourth of July 2000,2000-07-04T02:34:46-06:00
Alexie Beer,105,Fourth of July 2000,2000-07-04T03:50:21-06:00
Alexie Beer,106,Fourth of July 2000,2000-07-04T04:57:15-06:00
Alexie Beer,105,Fourth of July 2000,2000-07-04T05:34:32-06:00
Alexie Beer,106,Fourth of July 2000,2000-07-04T06:45:28-06:00
Alexie Beer,109,Fourth of July 2000,2000-07-04T07:50:25-06:00
Gerry Crooks,102,Fourth of July 2000,2000-07-04T00:50:52-06:00
Gerry Crooks,103,Fourth of July 2000,2000-07-04T01:34:14-06:00
Gerry Crooks,104,Fourth of July 2000,2000-07-04T02:30:43-06:00
Gerry Crooks,101,Fourth of July 2000,2000-07-04T03:59:27-06:00
Gerry Crooks,106,Fourth of July 2000,2000-07-04T04:35:40-06:00
Gerry Crooks,104,Fourth of July 2000,2000-07-04T05:37:21-06:00
Gerry Crooks,108,Fourth of July 2000,2000-07-04T06:31:48-06:00
Gerry Crooks,109,Fourth of July 2000,2000-07-04T07:51:40-06:00
Gerry Crooks,109,Fourth of July 2000,2000-07-04T08:17:26-06:00
Gerry Crooks,109,Fourth of July 2000,2000-07-04T09:38:52-06:00
Gerry Crooks,109,Fourth of July 2000,2000-07-04T010:23:29-06:00
Gerry Crooks,109,Fourth of July 2000,2000-07-04T011:32:25-06:00
Gerry Crooks,110,Fourth of July 2000,2000-07-04T012:26:20-06:00
Gerry Crooks,114,Fourth of July 2000,2000-07-04T013:17:53-06:00
Gerry Crooks,114,Fourth of July 2000,2000-07-04T014:20:21-06:00
Cooper Beer,102,Fourth of July 2000,2000-07-04T00:21:26-06:00
Cooper Beer,100,Fourth of July 2000,2000-07-04T01:59:24-06:00
Garfield Anderson,98,Fourth of July 2000,2000-07-04T00:54:19-06:00
Garfield Anderson,101,Fourth of July 2000,2000-07-04T01:37:44-06:00
Garfield Anderson,104,Fourth of July 2000,2000-07-04T02:46:17-06:00
Garfield Anderson,101,Fourth of July 2000,2000-07-04T03:38:59-06:00
Garfield Anderson,105,Fourth of July 2000,2000-07-04T04:34:40-06:00
Lou Crooks,101,Fourth of July 2000,2000-07-04T00:20:27-06:00
Lou Crooks,99,Fourth of July 2000,2000-07-04T01:42:25-06:00
Lou Crooks,101,Fourth of July 2000,2000-07-04T02:33:21-06:00
Lou Crooks,102,Fourth of July 2000,2000-07-04T03:19:56-06:00
Lou Crooks,105,Fourth of July 2000,2000-07-04T04:11:15-06:00
Lou Crooks,104,Fourth of July 2000,2000-07-04T05:14:46-06:00
Lou Crooks,107,Fourth of July 2000,2000-07-04T06:28:55-06:00
Lou Crooks,105,Fourth of July 2000,2000-07-04T07:22:36-06:00
Lou Crooks,108,Fourth of July 2000,2000-07-04T08:29:52-06:00
Lou Crooks,108,Fourth of July 2000,2000-07-04T09:11:45-06:00
Carli Crooks,99,Fourth of July 2000,2000-07-04T00:14:18-06:00
Carli Crooks,103,Fourth of July 2000,2000-07-04T01:28:52-06:00
Carli Crooks,103,Fourth of July 2000,2000-07-04T02:59:13-06:00
Carli Crooks,103,Fourth of July 2000,2000-07-04T03:57:15-06:00
Carli Crooks,102,Fourth of July 2000,2000-07-04T04:58:39-06:00
Carli Crooks,106,Fourth of July 2000,2000-07-04T05:17:15-06:00
Carli Crooks,105,Fourth of July 2000,2000-07-04T06:41:55-06:00
Carli Crooks,105,Fourth of July 2000,2000-07-04T07:43:29-06:00
Annabelle Beer,99,Fourth of July 2000,2000-07-04T00:45:24-06:00
Annabelle Beer,100,Fourth of July 2000,2000-07-04T01:34:42-06:00
Annabelle Beer,102,Fourth of July 2000,2000-07-04T02:21:27-06:00
Annabelle Beer,105,Fourth of July 2000,2000-07-04T03:11:30-06:00
Annabelle Beer,104,Fourth of July 2000,2000-07-04T04:24:38-06:00
Annabelle Beer,105,Fourth of July 2000,2000-07-04T05:43:10-06:00
Annabelle Beer,107,Fourth of July 2000,2000-07-04T06:19:26-06:00
Annabelle Beer,106,Fourth of July 2000,2000-07-04T07:29:22-06:00
Abigail Anderson,101,New Year's Eve 2000,2000-12-31T00:14:51-06:00
Abigail Anderson,103,New Year's Eve 2000,2000-12-31T01:57:28-06:00
Lenny Anderson,98,New Year's Eve 2000,2000-12-31T00:24:56-06:00
Lenny Anderson,99,New Year's Eve 2000,2000-12-31T01:44:17-06:00
Lenny Anderson,101,New Year's Eve 2000,2000-12-31T02:33:45-06:00
Lenny Anderson,103,New Year's Eve 2000,2000-12-31T03:44:54-06:00
Lenny Anderson,102,New Year's Eve 2000,2000-12-31T04:17:13-06:00
Lenny Anderson,104,New Year's Eve 2000,2000-12-31T05:13:53-06:00
Quincy Crooks,98,New Year's Eve 2000,2000-12-31T00:26:26-06:00
Alexie Beer,102,New Year's Eve 2000,2000-12-31T00:24:58-06:00
Alexie Beer,99,New Year's Eve 2000,2000-12-31T01:36:17-06:00
Alexie Beer,100,New Year's Eve 2000,2000-12-31T02:29:55-06:00
Alexie Beer,105,New Year's Eve 2000,2000-12-31T03:43:42-06:00
Alexie Beer,105,New Year's Eve 2000,2000-12-31T04:43:12-06:00
Alexie Beer,106,New Year's Eve 2000,2000-12-31T05:23:51-06:00
Alexie Beer,104,New Year's Eve 2000,2000-12-31T06:59:21-06:00
Alexie Beer,106,New Year's Eve 2000,2000-12-31T07:51:12-06:00
Alexie Beer,109,New Year's Eve 2000,2000-12-31T08:36:43-06:00
Alexie Beer,107,New Year's Eve 2000,2000-12-31T09:25:19-06:00
Gerry Crooks,100,New Year's Eve 2000,2000-12-31T00:27:25-06:00
Gerry Crooks,101,New Year's Eve 2000,2000-12-31T01:36:35-06:00
Gerry Crooks,100,New Year's Eve 2000,2000-12-31T02:11:45-06:00
Gerry Crooks,101,New Year's Eve 2000,2000-12-31T03:10:49-06:00
Gerry Crooks,103,New Year's Eve 2000,2000-12-31T04:45:39-06:00
Cooper Beer,99,New Year's Eve 2000,2000-12-31T00:32:13-06:00
Cooper Beer,103,New Year's Eve 2000,2000-12-31T01:11:48-06:00
Cooper Beer,101,New Year's Eve 2000,2000-12-31T02:55:45-06:00
Cooper Beer,103,New Year's Eve 2000,2000-12-31T03:44:56-06:00
Cooper Beer,106,New Year's Eve 2000,2000-12-31T04:19:47-06:00
Cooper Beer,105,New Year's Eve 2000,2000-12-31T05:35:29-06:00
Garfield Anderson,102,New Year's Eve 2000,2000-12-31T00:39:53-06:00
Garfield Anderson,99,New Year's Eve 2000,2000-12-31T01:54:43-06:00
Garfield Anderson,101,New Year's Eve 2000,2000-12-31T02:54:37-06:00
Garfield Anderson,102,New Year's Eve 2000,2000-12-31T03:51:46-06:00
Garfield Anderson,103,New Year's Eve 2000,2000-12-31T04:49:44-06:00
Garfield Anderson,104,New Year's Eve 2000,2000-12-31T05:33:38-06:00
Garfield Anderson,105,New Year's Eve 2000,2000-12-31T06:52:16-06:00
Garfield Anderson,108,New Year's Eve 2000,2000-12-31T07:26:39-06:00
Lou Crooks,101,New Year's Eve 2000,2000-12-31T00:55:23-06:00
Lou Crooks,100,New Year's Eve 2000,2000-12-31T01:22:40-06:00
Lou Crooks,100,New Year's Eve 2000,2000-12-31T02:30:14-06:00
Lou Crooks,102,New Year's Eve 2000,2000-12-31T03:31:39-06:00
Lou Crooks,105,New Year's Eve 2000,2000-12-31T04:29:39-06:00
Lou Crooks,106,New Year's Eve 2000,2000-12-31T05:23:35-06:00
Lou Crooks,108,New Year's Eve 2000,2000-12-31T06:39:40-06:00
Lou Crooks,107,New Year's Eve 2000,2000-12-31T07:41:56-06:00
Lou Crooks,109,New Year's Eve 2000,2000-12-31T08:38:15-06:00
Lou Crooks,107,New Year's Eve 2000,2000-12-31T09:56:44-06:00
Lou Crooks,112,New Year's Eve 2000,2000-12-31T010:54:22-06:00
Lou Crooks,110,New Year's Eve 2000,2000-12-31T011:36:41-06:00
Carli Crooks,100,New Year's Eve 2000,2000-12-31T00:11:54-06:00
Carli Crooks,102,New Year's Eve 2000,2000-12-31T01:42:14-06:00
Carli Crooks,103,New Year's Eve 2000,2000-12-31T02:30:58-06:00
Carli Crooks,104,New Year's Eve 2000,2000-12-31T03:22:28-06:00
Carli Crooks,104,New Year's Eve 2000,2000-12-31T04:49:41-06:00
Annabelle Beer,102,New Year's Eve 2000,2000-12-31T00:52:42-06:00
Annabelle Beer,101,New Year's Eve 2000,2000-12-31T01:21:37-06:00
Annabelle Beer,101,New Year's Eve 2000,2000-12-31T02:20:17-06:00
Annabelle Beer,104,New Year's Eve 2000,2000-12-31T03:36:36-06:00
Annabelle Beer,103,New Year's Eve 2000,2000-12-31T04:32:20-06:00
Annabelle Beer,105,New Year's Eve 2000,2000-12-31T05:37:50-06:00
Annabelle Beer,108,New Year's Eve 2000,2000-12-31T06:48:31-06:00
Annabelle Beer,107,New Year's Eve 2000,2000-12-31T07:41:54-06:00
Abigail Anderson,101,Labor Day 2000,2000-09-03T00:38:34-06:00
Abigail Anderson,101,Labor Day 2000,2000-09-03T01:18:31-06:00
Abigail Anderson,103,Labor Day 2000,2000-09-03T02:16:37-06:00
Abigail Anderson,104,Labor Day 2000,2000-09-03T03:45:16-06:00
Abigail Anderson,102,Labor Day 2000,2000-09-03T04:51:58-06:00
Abigail Anderson,106,Labor Day 2000,2000-09-03T05:58:41-06:00
Abigail Anderson,105,Labor Day 2000,2000-09-03T06:18:25-06:00
Abigail Anderson,107,Labor Day 2000,2000-09-03T07:19:24-06:00
Abigail Anderson,108,Labor Day 2000,2000-09-03T08:14:52-06:00
Abigail Anderson,107,Labor Day 2000,2000-09-03T09:21:11-06:00
Abigail Anderson,110,Labor Day 2000,2000-09-03T010:50:12-06:00
Abigail Anderson,111,Labor Day 2000,2000-09-03T011:57:48-06:00
Lenny Anderson,102,Labor Day 2000,2000-09-03T00:44:31-06:00
Lenny Anderson,103,Labor Day 2000,2000-09-03T01:57:46-06:00
Lenny Anderson,101,Labor Day 2000,2000-09-03T02:17:55-06:00
Lenny Anderson,105,Labor Day 2000,2000-09-03T03:48:15-06:00
Lenny Anderson,103,Labor Day 2000,2000-09-03T04:59:17-06:00
Lenny Anderson,107,Labor Day 2000,2000-09-03T05:21:28-06:00
Lenny Anderson,106,Labor Day 2000,2000-09-03T06:57:54-06:00
Lenny Anderson,107,Labor Day 2000,2000-09-03T07:14:12-06:00
Lenny Anderson,108,Labor Day 2000,2000-09-03T08:33:25-06:00
Lenny Anderson,111,Labor Day 2000,2000-09-03T09:17:23-06:00
Lenny Anderson,108,Labor Day 2000,2000-09-03T010:43:37-06:00
Lenny Anderson,113,Labor Day 2000,2000-09-03T011:42:11-06:00
Lenny Anderson,110,Labor Day 2000,2000-09-03T012:16:59-06:00
Lenny Anderson,113,Labor Day 2000,2000-09-03T013:59:54-06:00
Lenny Anderson,115,Labor Day 2000,2000-09-03T014:57:56-06:00
Quincy Crooks,99,Labor Day 2000,2000-09-03T00:33:38-06:00
Quincy Crooks,103,Labor Day 2000,2000-09-03T01:24:25-06:00
Quincy Crooks,102,Labor Day 2000,2000-09-03T02:23:26-06:00
Quincy Crooks,104,Labor Day 2000,2000-09-03T03:58:38-06:00
Quincy Crooks,105,Labor Day 2000,2000-09-03T04:10:25-06:00
Quincy Crooks,106,Labor Day 2000,2000-09-03T05:41:10-06:00
Quincy Crooks,107,Labor Day 2000,2000-09-03T06:16:16-06:00
Quincy Crooks,106,Labor Day 2000,2000-09-03T07:30:49-06:00
Quincy Crooks,107,Labor Day 2000,2000-09-03T08:45:31-06:00
Quincy Crooks,108,Labor Day 2000,2000-09-03T09:25:30-06:00
Quincy Crooks,109,Labor Day 2000,2000-09-03T010:30:50-06:00
Quincy Crooks,113,Labor Day 2000,2000-09-03T011:28:17-06:00
Quincy Crooks,112,Labor Day 2000,2000-09-03T012:31:22-06:00
Quincy Crooks,112,Labor Day 2000,2000-09-03T013:42:47-06:00
Quincy Crooks,114,Labor Day 2000,2000-09-03T014:41:13-06:00
Alexie Beer,98,Labor Day 2000,2000-09-03T00:37:41-06:00
Alexie Beer,100,Labor Day 2000,2000-09-03T01:54:50-06:00
Alexie Beer,102,Labor Day 2000,2000-09-03T02:47:12-06:00
Alexie Beer,105,Labor Day 2000,2000-09-03T03:17:20-06:00
Alexie Beer,104,Labor Day 2000,2000-09-03T04:31:41-06:00
Alexie Beer,107,Labor Day 2000,2000-09-03T05:15:50-06:00
Alexie Beer,104,Labor Day 2000,2000-09-03T06:50:40-06:00
Alexie Beer,108,Labor Day 2000,2000-09-03T07:25:43-06:00
Gerry Crooks,102,Labor Day 2000,2000-09-03T00:39:47-06:00
Gerry Crooks,99,Labor Day 2000,2000-09-03T01:39:46-06:00
Gerry Crooks,102,Labor Day 2000,2000-09-03T02:19:50-06:00
Gerry Crooks,101,Labor Day 2000,2000-09-03T03:44:48-06:00
Gerry Crooks,103,Labor Day 2000,2000-09-03T04:45:28-06:00
Cooper Beer,99,Labor Day 2000,2000-09-03T00:37:55-06:00
Cooper Beer,100,Labor Day 2000,2000-09-03T01:15:31-06:00
Cooper Beer,101,Labor Day 2000,2000-09-03T02:36:57-06:00
Cooper Beer,104,Labor Day 2000,2000-09-03T03:57:56-06:00
Cooper Beer,103,Labor Day 2000,2000-09-03T04:17:38-06:00
Cooper Beer,104,Labor Day 2000,2000-09-03T05:28:47-06:00
Cooper Beer,106,Labor Day 2000,2000-09-03T06:38:29-06:00
Cooper Beer,108,Labor Day 2000,2000-09-03T07:21:59-06:00
Cooper Beer,109,Labor Day 2000,2000-09-03T08:39:49-06:00
Cooper Beer,109,Labor Day 2000,2000-09-03T09:25:55-06:00
Cooper Beer,111,Labor Day 2000,2000-09-03T010:28:53-06:00
Cooper Beer,109,Labor Day 2000,2000-09-03T011:45:42-06:00
Garfield Anderson,101,Labor Day 2000,2000-09-03T00:22:55-06:00
Garfield Anderson,100,Labor Day 2000,2000-09-03T01:22:35-06:00
Garfield Anderson,102,Labor Day 2000,2000-09-03T02:28:20-06:00
Garfield Anderson,105,Labor Day 2000,2000-09-03T03:13:23-06:00
Garfield Anderson,103,Labor Day 2000,2000-09-03T04:17:14-06:00
Garfield Anderson,103,Labor Day 2000,2000-09-03T05:17:25-06:00
Garfield Anderson,106,Labor Day 2000,2000-09-03T06:35:21-06:00
Garfield Anderson,106,Labor Day 2000,2000-09-03T07:50:26-06:00
Garfield Anderson,107,Labor Day 2000,2000-09-03T08:34:48-06:00
Garfield Anderson,110,Labor Day 2000,2000-09-03T09:28:32-06:00
Garfield Anderson,111,Labor Day 2000,2000-09-03T010:54:25-06:00
Garfield Anderson,113,Labor Day 2000,2000-09-03T011:33:33-06:00
Lou Crooks,99,Labor Day 2000,2000-09-03T00:16:15-06:00
Carli Crooks,99,Labor Day 2000,2000-09-03T00:48:23-06:00
Carli Crooks,101,Labor Day 2000,2000-09-03T01:25:27-06:00
Carli Crooks,100,Labor Day 2000,2000-09-03T02:45:17-06:00
Carli Crooks,104,Labor Day 2000,2000-09-03T03:58:13-06:00
Carli Crooks,103,Labor Day 2000,2000-09-03T04:28:19-06:00
Annabelle Beer,101,Labor Day 2000,2000-09-03T00:50:49-06:00
Abigail Anderson,98,Halloween 2000,2000-10-31T00:29:41-06:00
Abigail Anderson,103,Halloween 2000,2000-10-31T01:38:16-06:00
Lenny Anderson,98,Halloween 2000,2000-10-31T00:23:51-06:00
Lenny Anderson,101,Halloween 2000,2000-10-31T01:34:17-06:00
Lenny Anderson,101,Halloween 2000,2000-10-31T02:47:22-06:00
Lenny Anderson,105,Halloween 2000,2000-10-31T03:46:57-06:00
Lenny Anderson,104,Halloween 2000,2000-10-31T04:53:53-06:00
Lenny Anderson,105,Halloween 2000,2000-10-31T05:52:10-06:00
Lenny Anderson,105,Halloween 2000,2000-10-31T06:30:25-06:00
Lenny Anderson,105,Halloween 2000,2000-10-31T07:45:30-06:00
Quincy Crooks,100,Halloween 2000,2000-10-31T00:39:24-06:00
Quincy Crooks,99,Halloween 2000,2000-10-31T01:29:58-06:00
Quincy Crooks,102,Halloween 2000,2000-10-31T02:50:43-06:00
Quincy Crooks,101,Halloween 2000,2000-10-31T03:56:58-06:00
Quincy Crooks,102,Halloween 2000,2000-10-31T04:22:14-06:00
Quincy Crooks,105,Halloween 2000,2000-10-31T05:50:30-06:00
Quincy Crooks,105,Halloween 2000,2000-10-31T06:27:50-06:00
Quincy Crooks,109,Halloween 2000,2000-10-31T07:57:55-06:00
Quincy Crooks,108,Halloween 2000,2000-10-31T08:35:18-06:00
Quincy Crooks,107,Halloween 2000,2000-10-31T09:21:11-06:00
Quincy Crooks,109,Halloween 2000,2000-10-31T010:19:37-06:00
Quincy Crooks,112,Halloween 2000,2000-10-31T011:59:13-06:00
Alexie Beer,98,Halloween 2000,2000-10-31T00:23:55-06:00
Alexie Beer,103,Halloween 2000,2000-10-31T01:38:38-06:00
Alexie Beer,100,Halloween 2000,2000-10-31T02:48:37-06:00
Alexie Beer,103,Halloween 2000,2000-10-31T03:32:58-06:00
Alexie Beer,105,Halloween 2000,2000-10-31T04:20:13-06:00
Alexie Beer,105,Halloween 2000,2000-10-31T05:49:24-06:00
Gerry Crooks,98,Halloween 2000,2000-10-31T00:21:51-06:00
Gerry Crooks,100,Halloween 2000,2000-10-31T01:11:29-06:00
Gerry Crooks,100,Halloween 2000,2000-10-31T02:32:50-06:00
Gerry Crooks,102,Halloween 2000,2000-10-31T03:51:44-06:00
Gerry Crooks,104,Halloween 2000,2000-10-31T04:58:12-06:00
Gerry Crooks,104,Halloween 2000,2000-10-31T05:28:11-06:00
Gerry Crooks,107,Halloween 2000,2000-10-31T06:26:15-06:00
Gerry Crooks,105,Halloween 2000,2000-10-31T07:56:19-06:00
Gerry Crooks,108,Halloween 2000,2000-10-31T08:39:57-06:00
Gerry Crooks,108,Halloween 2000,2000-10-31T09:43:39-06:00
Gerry Crooks,112,Halloween 2000,2000-10-31T010:56:52-06:00
Gerry Crooks,109,Halloween 2000,2000-10-31T011:31:47-06:00
Cooper Beer,98,Halloween 2000,2000-10-31T00:32:55-06:00
Cooper Beer,99,Halloween 2000,2000-10-31T01:59:56-06:00
Cooper Beer,102,Halloween 2000,2000-10-31T02:58:54-06:00
Cooper Beer,102,Halloween 2000,2000-10-31T03:28:31-06:00
Cooper Beer,106,Halloween 2000,2000-10-31T04:15:11-06:00
Cooper Beer,106,Halloween 2000,2000-10-31T05:39:30-06:00
Cooper Beer,104,Halloween 2000,2000-10-31T06:58:26-06:00
Cooper Beer,107,Halloween 2000,2000-10-31T07:56:26-06:00
Cooper Beer,110,Halloween 2000,2000-10-31T08:19:59-06:00
Cooper Beer,111,Halloween 2000,2000-10-31T09:42:59-06:00
Cooper Beer,108,Halloween 2000,2000-10-31T010:55:10-06:00
Cooper Beer,111,Halloween 2000,2000-10-31T011:48:18-06:00
Cooper Beer,113,Halloween 2000,2000-10-31T012:10:28-06:00
Cooper Beer,111,Halloween 2000,2000-10-31T013:57:16-06:00
Cooper Beer,113,Halloween 2000,2000-10-31T014:18:19-06:00
Garfield Anderson,99,Halloween 2000,2000-10-31T00:59:55-06:00
Garfield Anderson,103,Halloween 2000,2000-10-31T01:58:37-06:00
Garfield Anderson,103,Halloween 2000,2000-10-31T02:48:43-06:00
Garfield Anderson,103,Halloween 2000,2000-10-31T03:46:35-06:00
Garfield Anderson,102,Halloween 2000,2000-10-31T04:14:49-06:00
Garfield Anderson,104,Halloween 2000,2000-10-31T05:31:56-06:00
Garfield Anderson,106,Halloween 2000,2000-10-31T06:50:32-06:00
Garfield Anderson,108,Halloween 2000,2000-10-31T07:47:50-06:00
Lou Crooks,102,Halloween 2000,2000-10-31T00:43:35-06:00
Lou Crooks,99,Halloween 2000,2000-10-31T01:24:27-06:00
Carli Crooks,101,Halloween 2000,2000-10-31T00:15:54-06:00
Carli Crooks,100,Halloween 2000,2000-10-31T01:10:28-06:00
Annabelle Beer,99,Halloween 2000,2000-10-31T00:44:34-06:00
Annabelle Beer,101,Halloween 2000,2000-10-31T01:55:41-06:00
Annabelle Beer,101,Halloween 2000,2000-10-31T02:19:10-06:00
Annabelle Beer,103,Halloween 2000,2000-10-31T03:24:59-06:00
Annabelle Beer,103,Halloween 2000,2000-10-31T04:22:49-06:00
Annabelle Beer,105,Halloween 2000,2000-10-31T05:46:38-06:00
Annabelle Beer,108,Halloween 2000,2000-10-31T06:13:12-06:00
Annabelle Beer,107,Halloween 2000,2000-10-31T07:29:52-06:00
Annabelle Beer,108,Halloween 2000,2000-10-31T08:16:21-06:00
Annabelle Beer,110,Halloween 2000,2000-10-31T09:27:52-06:00
Annabelle Beer,109,Halloween 2000,2000-10-31T010:30:50-06:00
Annabelle Beer,111,Halloween 2000,2000-10-31T011:43:23-06:00
